Orange Drop 716P,100,0.33,31.8,10.7
Orange Drop 716P,200,0.01,17.8,6.4
Orange Drop 716P,200,0.012,17.8,6.9
Orange Drop 716P,200,0.015,17.8,6.6
Orange Drop 716P,200,0.018,17.8,6.4
Orange Drop 716P,200,0.022,17.8,6.9
Orange Drop 716P,200,0.027,17.8,7.4
Orange Drop 716P,200,0.033,17.8,8.1
Orange Drop 716P,200,0.039,17.8,8.1
Orange Drop 716P,200,0.047,17.8,8.6
Orange Drop 716P,200,0.056,22.9,7.6
Orange Drop 716P,200,0.068,22.9,8.4
Orange Drop 716P,200,0.082,22.9,9.1
Orange Drop 716P,200,0.1,22.9,9.9
Orange Drop 716P,200,0.12,22.9,10.2
Orange Drop 716P,200,0.15,22.9,11.4
Orange Drop 716P,200,0.18,31.8,9.9
Orange Drop 716P,200,0.22,31.8,10.9
Orange Drop 716P,200,0.27,31.8,11.9
Orange Drop 716P,200,0.33,31.8,11.9
Orange Drop 716P,200,0.39,31.8,13
Orange Drop 716P,200,0.47,31.8,14.2
Orange Drop 716P,200,0.56,31.8,15.5
Orange Drop 716P,200,0.68,41.9,14.2
Orange Drop 716P,200,0.82,41.9,15.5
Orange Drop 716P,200,1,41.9,17.3
Orange Drop 716P,400,0.001,17.8,6.4
Orange Drop 716P,400,0.0012,17.8,5.6
Orange Drop 716P,400,0.0015,17.8,6.1
Orange Drop 716P,400,0.0018,17.8,6.4
Orange Drop 716P,400,0.0022,17.8,6.6
Orange Drop 716P,400,0.0027,17.8,6.1
Orange Drop 716P,400,0.0033,17.8,6.1
Orange Drop 716P,400,0.0039,17.8,6.1
Orange Drop 716P,400,0.0047,17.8,6.4
Orange Drop 716P,400,0.0056,17.8,6.1
Orange Drop 716P,400,0.0068,17.8,6.1
Orange Drop 716P,400,0.0082,17.8,6.4
Orange Drop 716P,400,0.01,17.8,6.9
Orange Drop 716P,400,0.012,17.8,7.4
Orange Drop 716P,400,0.015,17.8,7.9
Orange Drop 716P,400,0.018,22.9,7.1
Orange Drop 716P,400,0.022,22.9,7.6
Orange Drop 716P,400,0.027,22.9,7.9
Orange Drop 716P,400,0.033,22.9,8.4
